Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/21 6:40,805,798.4666666666667,288.47215624175243,246.57851675903933,263.5246766956981,22.167458432304038,16.075745579308524
10/21 7:00,805,788.2222222222222,286.0138099106418,250.11751963173572,326.388843758462,22.087056593555374,16.03330625507717
10/21 7:20,805,778.8,284.05414457158804,256.1091264303656,390.857661177784,22.053028188668712,15.92883058889199
10/21 7:40,805,769.8,292.5871875,264.2134375,499.425,21.90375,15.7728125
10/21 8:00,805,752.7083333333334,294.01720351390924,271.9037335285505,548.0527086383602,21.93612737920937,15.555270863836018
10/21 8:20,805,737.4166666666666,297.0589527645551,279.57524716221167,588.5316733797143,21.90699377517393,15.758696448187477
10/21 8:40,805,728.5238095238095,295.9448410123297,287.8033744321869,568.5778715120052,22.03682673588579,15.9935107073329
10/21 9:00,805,720.030303030303,292.79583637691746,295.53031409788167,641.144996347699,22.111395178962745,15.108473338203067
10/21 9:20,805,708.9166666666666,291.8523011059579,301.6732072779165,645.3778094898323,22.148947556189796,15.520513735283625
10/21 9:40,805,699.68,294.9945945945946,308.5570747217806,546.139586645469,22.226868044515104,15.986963434022258
10/21 10:00,805,698.1764705882352,297.873273480663,308.666091160221,580.6360497237569,22.14364640883978,15.979972375690608
10/21 10:20,805,688.4666666666667,296.6677489177489,313.1886724386724,655.085137085137,22.163239538239537,15.908730158730158
10/21 10:40,805,674.1785714285714,297.3187250996016,316.3490652773521,528.9996935335581,22.208397180508733,17.38951884768618
10/21 11:00,805,669.2352941176471,304.07712305025996,317.9786250722126,450.73454650491044,22.278162911611783,17.334777585210862
10/21 11:20,805,669.4761904761905,297.2055738687444,317.06083308360803,550.6730596344022,22.262361402457298,17.41504345220258
10/21 11:40,805,669.695652173913,299.1557147306135,318.6197446278418,557.4176269075055,22.2223606353161,17.60043600124572
10/21 12:00,805,682.0645161290323,297.97882136279924,320.02946593001843,553.8591160220994,22.265653775322285,17.749232658072437
10/21 12:20,805,680.9642857142857,302.4753389097202,320.1185462936256,460.84886068647245,22.28684741851745,17.770695125468706
